,PLOT_ID,SAMPLEDATE,Shannon,MINUTE,NO_INT,CLOUDS,WIND,TEMP,DATE,AIRTEMP_MEAN_DAY,CDD
12112,CPS08,2013-07-17,1.3833504056486075,9.0,5.0,S,ST,28.0,2013-07-17,16.8,265.4
12095,CPS08,2013-07-17,1.3833504056486075,3.0,10.0,S,ST,28.0,2013-07-17,16.8,265.4
12099,CPS08,2013-07-17,1.3833504056486075,4.0,12.0,S,ST,28.0,2013-07-17,16.8,265.4
12113,CPS08,2013-07-17,1.3833504056486075,10.0,16.0,S,ST,28.0,2013-07-17,16.8,265.4
12102,CPS08,2013-07-17,1.3833504056486075,5.0,2.0,S,ST,28.0,2013-07-17,16.8,265.4
12104,CPS08,2013-07-17,1.3833504056486075,6.0,1.0,S,ST,28.0,2013-07-17,16.8,265.4
12105,CPS08,2013-07-17,1.3833504056486075,7.0,24.0,S,ST,28.0,2013-07-17,16.8,265.4
3546,CPB01,2013-07-17,1.4439468751255213,5.0,1.0,PC,ST,21.0,2013-07-17,16.8,265.4
3545,CPB01,2013-07-17,1.4439468751255213,4.0,7.0,PC,ST,21.0,2013-07-17,16.8,265.4
12081,CPS08,2013-07-17,1.3833504056486075,1.0,8.0,S,ST,28.0,2013-07-17,16.8,265.4
3538,CPB01,2013-07-17,1.4439468751255213,3.0,2.0,PC,ST,21.0,2013-07-17,16.8,265.4
3537,CPB01,2013-07-17,1.4439468751255213,2.0,1.0,PC,ST,21.0,2013-07-17,16.8,265.4
3536,CPB01,2013-07-17,1.4439468751255213,1.0,3.0,PC,ST,21.0,2013-07-17,16.8,265.4
4756,CPB05,2013-07-17,7.501963426572074,6.0,2.0,SH,ST,19.0,2013-07-17,16.8,265.4
11887,CPS07,2013-07-17,1.0,14.0,26.0,S,ST,31.0,2013-07-17,16.8,265.4
11891,CPS07,2013-07-17,1.0,15.0,18.0,S,ST,31.0,2013-07-17,16.8,265.4
8959,CPM09,2013-07-17,4.407380209060246,14.0,4.0,S,ST,23.0,2013-07-17,16.8,265.4
8958,CPM09,2013-07-17,4.407380209060246,8.0,4.0,S,ST,23.0,2013-07-17,16.8,265.4
8956,CPM09,2013-07-17,4.407380209060246,7.0,2.0,S,ST,23.0,2013-07-17,16.8,265.4
11855,CPS07,2013-07-17,1.0,1.0,10.0,S,ST,31.0,2013-07-17,16.8,265.4
8955,CPM09,2013-07-17,4.407380209060246,6.0,4.0,S,ST,23.0,2013-07-17,16.8,265.4
8960,CPM09,2013-07-17,4.407380209060246,15.0,1.0,S,ST,23.0,2013-07-17,16.8,265.4
4257,CPB03,2013-07-17,1.1641664191128596,5.0,3.0,C,ST,20.0,2013-07-17,16.8,265.4
4471,CPB04,2013-07-17,1.1179530135570594,3.0,7.0,C,BR,19.0,2013-07-17,16.8,265.4
8950,CPM09,2013-07-17,4.407380209060246,1.0,2.0,S,ST,23.0,2013-07-17,16.8,265.4
4478,CPB04,2013-07-17,1.1179530135570594,5.0,1.0,C,BR,19.0,2013-07-17,16.8,265.4
4479,CPB04,2013-07-17,1.1179530135570594,13.0,1.0,SH,BR,19.0,2013-07-17,16.8,265.4
8952,CPM09,2013-07-17,4.407380209060246,4.0,1.0,S,ST,23.0,2013-07-17,16.8,265.4
3547,CPB01,2013-07-17,1.4439468751255213,6.0,1.0,PC,ST,21.0,2013-07-17,16.8,265.4
11885,CPS07,2013-07-17,1.0,13.0,8.0,S,ST,31.0,2013-07-17,16.8,265.4
12119,CPS08,2013-07-17,1.3833504056486075,13.0,25.0,S,ST,28.0,2013-07-17,16.8,265.4
11877,CPS07,2013-07-17,1.0,11.0,2.0,S,ST,31.0,2013-07-17,16.8,265.4
11876,CPS07,2013-07-17,1.0,10.0,2.0,S,ST,31.0,2013-07-17,16.8,265.4
11875,CPS07,2013-07-17,1.0,9.0,56.0,S,ST,31.0,2013-07-17,16.8,265.4
11871,CPS07,2013-07-17,1.0,8.0,3.0,S,ST,31.0,2013-07-17,16.8,265.4
11868,CPS07,2013-07-17,1.0,7.0,6.0,S,ST,31.0,2013-07-17,16.8,265.4
11866,CPS07,2013-07-17,1.0,6.0,3.0,S,ST,31.0,2013-07-17,16.8,265.4
6603,CPM01,2013-07-17,3.984593866367437,5.0,16.0,C,ST,22.0,2013-07-17,16.8,265.4
3917,CPB02,2013-07-17,1.461614257372228,14.0,1.0,PC,ST,20.0,2013-07-17,16.8,265.4
3916,CPB02,2013-07-17,1.461614257372228,12.0,10.0,PC,ST,20.0,2013-07-17,16.8,265.4
3915,CPB02,2013-07-17,1.461614257372228,6.0,1.0,PC,ST,20.0,2013-07-17,16.8,265.4
12121,CPS08,2013-07-17,1.3833504056486075,14.0,11.0,S,ST,28.0,2013-07-17,16.8,265.4
12123,CPS08,2013-07-17,1.3833504056486075,15.0,21.0,S,ST,28.0,2013-07-17,16.8,265.4
11882,CPS07,2013-07-17,1.0,12.0,11.0,S,ST,31.0,2013-07-17,16.8,265.4
22181,FNE05,2013-07-18,2.297280507271215,13.0,4.0,S,BR,27.0,2013-07-18,18.5,274.95
21717,FNE04,2013-07-18,1.5422507940205803,7.0,6.0,S,BR,23.0,2013-07-18,18.5,274.95
21715,FNE04,2013-07-18,1.5422507940205803,5.0,1.0,S,BR,23.0,2013-07-18,18.5,274.95
21714,FNE04,2013-07-18,1.5422507940205803,4.0,2.0,S,BR,23.0,2013-07-18,18.5,274.95
21712,FNE04,2013-07-18,1.5422507940205803,3.0,4.0,S,BR,23.0,2013-07-18,18.5,274.95
21710,FNE04,2013-07-18,1.5422507940205803,1.0,7.0,S,BR,23.0,2013-07-18,18.5,274.95
21718,FNE04,2013-07-18,1.5422507940205803,8.0,1.0,S,BR,23.0,2013-07-18,18.5,274.95
22177,FNE05,2013-07-18,2.297280507271215,9.0,1.0,S,BR,27.0,2013-07-18,18.5,274.95
16149,FM205,2013-07-18,3.2483157650453225,1.0,9.0,S,BR,21.0,2013-07-18,18.5,274.95
21719,FNE04,2013-07-18,1.5422507940205803,12.0,5.0,S,BR,23.0,2013-07-18,18.5,274.95
21720,FNE04,2013-07-18,1.5422507940205803,13.0,3.0,S,BR,23.0,2013-07-18,18.5,274.95
21721,FNE04,2013-07-18,1.5422507940205803,14.0,9.0,S,BR,23.0,2013-07-18,18.5,274.95
22184,FNE05,2013-07-18,2.297280507271215,14.0,6.0,S,BR,27.0,2013-07-18,18.5,274.95
22187,FNE05,2013-07-18,2.297280507271215,15.0,5.0,S,BR,27.0,2013-07-18,18.5,274.95
22179,FNE05,2013-07-18,2.297280507271215,11.0,1.0,S,BR,27.0,2013-07-18,18.5,274.95
22176,FNE05,2013-07-18,2.297280507271215,8.0,4.0,S,BR,27.0,2013-07-18,18.5,274.95
22172,FNE05,2013-07-18,2.297280507271215,7.0,1.0,S,BR,27.0,2013-07-18,18.5,274.95
22171,FNE05,2013-07-18,2.297280507271215,5.0,3.0,S,BR,27.0,2013-07-18,18.5,274.95
22169,FNE05,2013-07-18,2.297280507271215,4.0,5.0,S,BR,27.0,2013-07-18,18.5,274.95
22178,FNE05,2013-07-18,2.297280507271215,10.0,1.0,S,BR,27.0,2013-07-18,18.5,274.95
22167,FNE05,2013-07-18,2.297280507271215,3.0,1.0,S,BR,27.0,2013-07-18,18.5,274.95
22180,FNE05,2013-07-18,2.297280507271215,12.0,1.0,S,BR,27.0,2013-07-18,18.5,274.95
21321,FNE03,2013-07-18,2.49662983659987,4.0,4.0,S,ST,25.0,2013-07-18,18.5,274.95
16158,FM205,2013-07-18,3.2483157650453225,2.0,35.0,S,BR,21.0,2013-07-18,18.5,274.95
16172,FM205,2013-07-18,3.2483157650453225,12.0,1.0,S,BR,21.0,2013-07-18,18.5,274.95
16173,FM205,2013-07-18,3.2483157650453225,13.0,3.0,S,BR,21.0,2013-07-18,18.5,274.95
16174,FM205,2013-07-18,3.2483157650453225,14.0,6.0,S,BR,21.0,2013-07-18,18.5,274.95
16176,FM205,2013-07-18,3.2483157650453225,15.0,3.0,S,BR,21.0,2013-07-18,18.5,274.95
13319,FM202,2013-07-18,5.460880839753904,15.0,1.0,S,BR,22.0,2013-07-18,18.5,274.95
13318,FM202,2013-07-18,5.460880839753904,14.0,2.0,S,BR,22.0,2013-07-18,18.5,274.95
16171,FM205,2013-07-18,3.2483157650453225,10.0,1.0,S,BR,21.0,2013-07-18,18.5,274.95
14293,FM203,2013-07-18,3.8026547410063873,15.0,5.0,S,ST,18.0,2013-07-18,18.5,274.95
14291,FM203,2013-07-18,3.8026547410063873,13.0,1.0,S,ST,18.0,2013-07-18,18.5,274.95
14290,FM203,2013-07-18,3.8026547410063873,9.0,14.0,S,ST,18.0,2013-07-18,18.5,274.95
14289,FM203,2013-07-18,3.8026547410063873,6.0,1.0,S,ST,18.0,2013-07-18,18.5,274.95
14288,FM203,2013-07-18,3.8026547410063873,4.0,2.0,SH,ST,18.0,2013-07-18,18.5,274.95
14287,FM203,2013-07-18,3.8026547410063873,2.0,2.0,SH,ST,18.0,2013-07-18,18.5,274.95
14286,FM203,2013-07-18,3.8026547410063873,1.0,2.0,SH,ST,18.0,2013-07-18,18.5,274.95
13316,FM202,2013-07-18,5.460880839753904,13.0,1.0,S,BR,22.0,2013-07-18,18.5,274.95
16170,FM205,2013-07-18,3.2483157650453225,6.0,1.0,S,BR,21.0,2013-07-18,18.5,274.95
16169,FM205,2013-07-18,3.2483157650453225,5.0,5.0,S,BR,21.0,2013-07-18,18.5,274.95
21327,FNE03,2013-07-18,2.49662983659987,15.0,1.0,S,ST,25.0,2013-07-18,18.5,274.95
21326,FNE03,2013-07-18,2.49662983659987,13.0,3.0,S,ST,25.0,2013-07-18,18.5,274.95
21323,FNE03,2013-07-18,2.49662983659987,10.0,1.0,S,ST,25.0,2013-07-18,18.5,274.95
21322,FNE03,2013-07-18,2.49662983659987,9.0,2.0,S,ST,25.0,2013-07-18,18.5,274.95
15321,FM204,2013-07-18,3.908225412486955,1.0,19.0,S,ST,20.0,2013-07-18,18.5,274.95
21319,FNE03,2013-07-18,2.49662983659987,3.0,1.0,S,ST,25.0,2013-07-18,18.5,274.95
21318,FNE03,2013-07-18,2.49662983659987,1.0,1.0,S,ST,25.0,2013-07-18,18.5,274.95
16164,FM205,2013-07-18,3.2483157650453225,3.0,1.0,S,BR,21.0,2013-07-18,18.5,274.95
13304,FM202,2013-07-18,5.460880839753904,5.0,3.0,S,BR,22.0,2013-07-18,18.5,274.95
13292,FM202,2013-07-18,5.460880839753904,1.0,8.0,S,BR,22.0,2013-07-18,18.5,274.95
13306,FM202,2013-07-18,5.460880839753904,6.0,2.0,S,BR,22.0,2013-07-18,18.5,274.95
13307,FM202,2013-07-18,5.460880839753904,7.0,1.0,S,BR,22.0,2013-07-18,18.5,274.95
13308,FM202,2013-07-18,5.460880839753904,8.0,1.0,S,BR,22.0,2013-07-18,18.5,274.95
13309,FM202,2013-07-18,5.460880839753904,9.0,4.0,S,BR,22.0,2013-07-18,18.5,274.95
13312,FM202,2013-07-18,5.460880839753904,11.0,2.0,S,BR,22.0,2013-07-18,18.5,274.95
13314,FM202,2013-07-18,5.460880839753904,12.0,6.0,S,BR,22.0,2013-07-18,18.5,274.95
15361,FM204,2013-07-18,3.908225412486955,15.0,5.0,S,ST,20.0,2013-07-18,18.5,274.95
13302,FM202,2013-07-18,5.460880839753904,4.0,7.0,S,BR,22.0,2013-07-18,18.5,274.95
13295,FM202,2013-07-18,5.460880839753904,2.0,4.0,S,BR,22.0,2013-07-18,18.5,274.95
13299,FM202,2013-07-18,5.460880839753904,3.0,1.0,S,BR,22.0,2013-07-18,18.5,274.95
12630,FM201,2013-07-18,3.8207903563226195,1.0,1.0,S,BR,19.0,2013-07-18,18.5,274.95
12631,FM201,2013-07-18,3.8207903563226195,7.0,1.0,S,BR,19.0,2013-07-18,18.5,274.95
15357,FM204,2013-07-18,3.908225412486955,12.0,60.0,S,ST,20.0,2013-07-18,18.5,274.95
15342,FM204,2013-07-18,3.908225412486955,10.0,13.0,S,ST,20.0,2013-07-18,18.5,274.95
15341,FM204,2013-07-18,3.908225412486955,9.0,5.0,S,ST,20.0,2013-07-18,18.5,274.95
15340,FM204,2013-07-18,3.908225412486955,8.0,20.0,S,ST,20.0,2013-07-18,18.5,274.95
15358,FM204,2013-07-18,3.908225412486955,13.0,30.0,S,ST,20.0,2013-07-18,18.5,274.95
15338,FM204,2013-07-18,3.908225412486955,6.0,23.0,S,ST,20.0,2013-07-18,18.5,274.95
15334,FM204,2013-07-18,3.908225412486955,5.0,2.0,S,ST,20.0,2013-07-18,18.5,274.95
15333,FM204,2013-07-18,3.908225412486955,4.0,10.0,S,ST,20.0,2013-07-18,18.5,274.95
15332,FM204,2013-07-18,3.908225412486955,3.0,35.0,S,ST,20.0,2013-07-18,18.5,274.95
15330,FM204,2013-07-18,3.908225412486955,2.0,18.0,S,ST,20.0,2013-07-18,18.5,274.95
15349,FM204,2013-07-18,3.908225412486955,11.0,22.0,S,ST,20.0,2013-07-18,18.5,274.95
7555,CPM04,2013-07-22,3.0400943801599207,1.0,19.0,S,ST,30.0,2013-07-22,19.7,316.34999999999997
5448,CPB07,2013-07-22,2.2614042588771737,5.0,3.0,S,ST,28.0,2013-07-22,19.7,316.34999999999997
6098,CPB09,2013-07-22,2.196762394079501,1.0,1.0,S,ST,29.0,2013-07-22,19.7,316.34999999999997
6100,CPB09,2013-07-22,2.196762394079501,4.0,2.0,S,ST,29.0,2013-07-22,19.7,316.34999999999997
6101,CPB09,2013-07-22,2.196762394079501,5.0,3.0,S,ST,29.0,2013-07-22,19.7,316.34999999999997
5447,CPB07,2013-07-22,2.2614042588771737,4.0,1.0,S,ST,28.0,2013-07-22,19.7,316.34999999999997
6099,CPB09,2013-07-22,2.196762394079501,3.0,3.0,S,ST,29.0,2013-07-22,19.7,316.34999999999997
6102,CPB09,2013-07-22,2.196762394079501,6.0,1.0,S,ST,29.0,2013-07-22,19.7,316.34999999999997
5445,CPB07,2013-07-22,2.2614042588771737,3.0,5.0,S,ST,28.0,2013-07-22,19.7,316.34999999999997
7580,CPM04,2013-07-22,3.0400943801599207,9.0,32.0,S,ST,30.0,2013-07-22,19.7,316.34999999999997
6103,CPB09,2013-07-22,2.196762394079501,7.0,8.0,S,ST,29.0,2013-07-22,19.7,316.34999999999997
6104,CPB09,2013-07-22,2.196762394079501,8.0,7.0,S,ST,29.0,2013-07-22,19.7,316.34999999999997
6105,CPB09,2013-07-22,2.196762394079501,12.0,1.0,S,ST,29.0,2013-07-22,19.7,316.34999999999997
6106,CPB09,2013-07-22,2.196762394079501,15.0,2.0,S,ST,29.0,2013-07-22,19.7,316.34999999999997
7577,CPM04,2013-07-22,3.0400943801599207,5.0,29.0,S,ST,30.0,2013-07-22,19.7,316.34999999999997
5105,CPB06,2013-07-22,6.982296860496611,9.0,1.0,S,ST,27.0,2013-07-22,19.7,316.34999999999997
5104,CPB06,2013-07-22,6.982296860496611,7.0,3.0,S,ST,27.0,2013-07-22,19.7,316.34999999999997
7578,CPM04,2013-07-22,3.0400943801599207,7.0,33.0,S,ST,30.0,2013-07-22,19.7,316.34999999999997
7574,CPM04,2013-07-22,3.0400943801599207,3.0,1.0,S,ST,30.0,2013-07-22,19.7,316.34999999999997
5455,CPB07,2013-07-22,2.2614042588771737,15.0,3.0,S,ST,28.0,2013-07-22,19.7,316.34999999999997
5453,CPB07,2013-07-22,2.2614042588771737,14.0,6.0,S,ST,28.0,2013-07-22,19.7,316.34999999999997
5452,CPB07,2013-07-22,2.2614042588771737,11.0,7.0,S,ST,28.0,2013-07-22,19.7,316.34999999999997
5451,CPB07,2013-07-22,2.2614042588771737,8.0,2.0,S,ST,28.0,2013-07-22,19.7,316.34999999999997
5450,CPB07,2013-07-22,2.2614042588771737,7.0,1.0,S,ST,28.0,2013-07-22,19.7,316.34999999999997
5449,CPB07,2013-07-22,2.2614042588771737,6.0,3.0,S,ST,28.0,2013-07-22,19.7,316.34999999999997
5692,CPB08,2013-07-22,5.034340068916998,14.0,11.0,S,ST,29.0,2013-07-22,19.7,316.34999999999997
7585,CPM04,2013-07-22,3.0400943801599207,15.0,15.0,S,ST,30.0,2013-07-22,19.7,316.34999999999997
8114,CPM06,2013-07-22,4.57467859432301,7.0,2.0,SH,ST,22.0,2013-07-22,19.7,316.34999999999997
8113,CPM06,2013-07-22,4.57467859432301,6.0,17.0,SH,ST,22.0,2013-07-22,19.7,316.34999999999997
8111,CPM06,2013-07-22,4.57467859432301,1.0,11.0,SH,ST,22.0,2013-07-22,19.7,316.34999999999997
7859,CPM05,2013-07-22,1.9886096983055768,1.0,1.0,S,ST,27.0,2013-07-22,19.7,316.34999999999997
8117,CPM06,2013-07-22,4.57467859432301,12.0,54.0,S,ST,22.0,2013-07-22,19.7,316.34999999999997
8118,CPM06,2013-07-22,4.57467859432301,15.0,1.0,S,ST,22.0,2013-07-22,19.7,316.34999999999997
8115,CPM06,2013-07-22,4.57467859432301,8.0,24.0,S,ST,22.0,2013-07-22,19.7,316.34999999999997
7583,CPM04,2013-07-22,3.0400943801599207,13.0,38.0,S,ST,30.0,2013-07-22,19.7,316.34999999999997
8116,CPM06,2013-07-22,4.57467859432301,11.0,10.0,S,ST,22.0,2013-07-22,19.7,316.34999999999997
7582,CPM04,2013-07-22,3.0400943801599207,11.0,6.0,S,ST,30.0,2013-07-22,19.7,316.34999999999997
7210,CPM03,2013-07-22,3.128948808153393,1.0,1.0,SH,ST,27.0,2013-07-22,19.7,316.34999999999997
27146,LOM04,2013-07-24,3.98422597581937,8.0,3.0,S,BR,28.0,2013-07-24,20.8,340.3
27145,LOM04,2013-07-24,3.98422597581937,4.0,1.0,S,BR,28.0,2013-07-24,20.8,340.3
27144,LOM04,2013-07-24,3.98422597581937,2.0,2.0,S,BR,28.0,2013-07-24,20.8,340.3
27142,LOM04,2013-07-24,3.98422597581937,1.0,2.0,S,BR,28.0,2013-07-24,20.8,340.3
27147,LOM04,2013-07-24,3.98422597581937,11.0,1.0,S,BR,28.0,2013-07-24,20.8,340.3
3918,CPB02,2013-07-29,3.0196072969542103,1.0,1.0,S,ST,22.0,2013-07-29,14.8,382.75
11117,CPS02,2013-07-29,1.0,1.0,1.0,S,ST,23.0,2013-07-29,14.8,382.75
10662,CPR09,2013-07-29,1.9876669750024174,1.0,1.0,S,ST,19.0,2013-07-29,14.8,382.75
34241,LOS08,2013-07-30,4.823414518314227,15.0,2.0,S,ST,25.0,2013-07-30,15.8,389.75
34233,LOS08,2013-07-30,4.823414518314227,2.0,2.0,S,ST,25.0,2013-07-30,15.8,389.75
34234,LOS08,2013-07-30,4.823414518314227,6.0,7.0,S,ST,25.0,2013-07-30,15.8,389.75
34235,LOS08,2013-07-30,4.823414518314227,8.0,2.0,S,ST,25.0,2013-07-30,15.8,389.75
34236,LOS08,2013-07-30,4.823414518314227,9.0,1.0,S,ST,25.0,2013-07-30,15.8,389.75
34238,LOS08,2013-07-30,4.823414518314227,11.0,5.0,S,ST,25.0,2013-07-30,15.8,389.75
34240,LOS08,2013-07-30,4.823414518314227,12.0,9.0,S,ST,25.0,2013-07-30,15.8,389.75
34600,LOS09,2013-07-30,1.0,2.0,2.0,S,ST,30.0,2013-07-30,15.8,389.75
34611,LOS09,2013-07-30,1.0,14.0,1.0,S,ST,30.0,2013-07-30,15.8,389.75
34610,LOS09,2013-07-30,1.0,12.0,3.0,S,ST,30.0,2013-07-30,15.8,389.75
34602,LOS09,2013-07-30,1.0,3.0,4.0,S,ST,30.0,2013-07-30,15.8,389.75
25205,LOB07,2013-07-30,2.2173474522732106,5.0,1.0,S,ST,21.0,2013-07-30,15.8,389.75
25204,LOB07,2013-07-30,2.2173474522732106,3.0,1.0,S,ST,21.0,2013-07-30,15.8,389.75
